orderCode,lane,customer,pickZipCode,dropZipCode,startMarket,endMarket,shipmentStatus,revenue,cost,profit,deliveredDate
"P-66416-2612","EWR → EWR","Worldwide Express","08810","08332","EWR","EWR","Complete",110,134.66,-24.66,"2026-03-25"
"P-120775-2611","BWI → EWR","FreightCenter Inc","20705","10027","BWI","EWR","Complete",280.09,274.37,5.72,"2026-03-25"
"P-73222-2612","CMH → CLE","Back to the Roots, Inc","43228","44906","CMH","CLE","Complete",139,132.32,6.68,"2026-03-25"
"P-99518-2612","DFW → SHV","Back to the Roots, Inc","75050","75501","DFW","SHV","Complete",230.31,219.34,10.97,"2026-03-25"
"P-72357-2612","IAD → IAD","Back to the Roots, Inc","22079","22554","IAD","IAD","Complete",60,142.01,-82.01,"2026-03-25"
"P-132934-2612","ORD → SBN","Back to the Roots, Inc","60106","49107-1239","ORD","SBN","Complete",176,350,-174,"2026-03-25"
"P-130402-2612","DFW → DFW","Back to the Roots, Inc","75050","75069","DFW","DFW","Complete",118.44,56.75,61.69,"2026-03-25"
"P-110665-2612","PDX → PDX","Back to the Roots, Inc","97222","97702","PDX","PDX","Complete",223,327.31,-104.31,"2026-03-25"
"P-42807-2612","ATL → RDU","Roca Tile USA, Inc","30004","27893","ATL","RDU","Complete",205.22,197.35,7.87,"2026-03-25"
"P-45338-2610","LAX → MIA","Worldwide Express","91706","33144","LAX","MIA","Complete",291.2,422.75,-131.55,"2026-03-25"
"P-197895-2612","","Back to the Roots, Inc","","98001","","SEA","Complete",0,0,0,"2026-03-25"
"P-124096-2610","ORD → MCI","Priority1","60143","64114","ORD","MCI","Complete",209.25,145.3,63.95,"2026-03-25"
"P-26924-2612","DFW → AUS","Nolan Transportation Group","76155","78744","DFW","AUS","Complete",197.15,333.84,-136.69,"2026-03-25"
"P-68185-2612","IAD → BWI","Back to the Roots, Inc","22079","20854-3120","IAD","BWI","Complete",254.2,106.03,148.17,"2026-03-25"
"P-0055-2611","TPA → EWR","Mark and Jesse LLC","33884","18042","TPA","EWR","Complete",341.27,262.68,78.58,"2026-03-25"
"P-0058-2611","RDU → EWR","Mark and Jesse LLC","27616","18042","RDU","EWR","Complete",248.23,265.87,-17.64,"2026-03-25"
"P-126215-2610","LAX → MSY","Priority1","90670","39470","LAX","MSY","Complete",302,256.59,45.41,"2026-03-25"
"P-28518-2612","IAH → MCO","Worldwide Express","77036","32808","IAH","MCO","Complete",229.6,271.17,-41.57,"2026-03-25"
"P-166881-2608","CMH → DEN","Aritzia (United States of Aritzia)","43125","80239","CMH","DEN","Complete",4675,6065,-1390,"2026-03-25"
"P-142882-2611","LAX → DEN","GLB Trucking LLC dba GLB Solutions","91105","80831","LAX","DEN","Complete",314.45,297.78,16.67,"2026-03-25"
"P-138047-2611","PDX → ATL","Priority1","97227","30327","PDX","ATL","Complete",325.01,256.9,68.11,"2026-03-25"
"P-0076-2611","LAX → PHX","Cyclone Pods","91010","85284","LAX","PHX","Complete",329.33,271.83,57.5,"2026-03-25"
"P-00059-2610","AUS → DFW","Manifest","78666","75028","AUS","DFW","Complete",1029.88,565.25,464.63,"2026-03-25"
"P-51995-2611","DEN → DEN","Back to the Roots, Inc","80239","80016","DEN","DEN","Complete",40,58.13,-18.13,"2026-03-25"
"P-130917-2612","SFO → SMF","Back to the Roots, Inc","95131","95682-7826","SFO","SMF","Complete",2421.67,381.91,2039.77,"2026-03-25"
"P-136014-2612","SMF → SMF","Loadsmart Inc.","95691","95948","SMF","SMF","Complete",142.07,88.63,53.44,"2026-03-25"
"P-103588-2612","BNA → HSV","Back to the Roots, Inc","37217","37398","BNA","HSV","Complete",234.22,100.77,133.45,"2026-03-25"
"P-102991-2612","PIT → PIT","Back to the Roots, Inc","15086","15545","PIT","PIT","Complete",216,180.74,35.26,"2026-03-25"
"P-28777-2611","","Back to the Roots, Inc","30297","30830-6485","ATL","","Complete",274.71,485.62,-210.91,"2026-03-25"
"P-33056-2612","SEA → SEA","Back to the Roots, Inc","98001","98042-5158","SEA","SEA","Complete",40,26.19,13.81,"2026-03-25"
"P-24988-2612","IAH → IAD","Priority1","77043","22192","IAH","IAD","Complete",230.67,246.09,-15.42,"2026-03-25"
"P-88201-2611","LAX → SEA","Worldwide Express","90746","98516","LAX","SEA","Complete",290,327.68,-37.68,"2026-03-25"
"P-72892-2612","SAT → DFW","DoorDash","78219","75028","SAT","DFW","Complete",207.88,123.34,84.54,"2026-03-25"
"P-110096-2611","LAX → CMH","FreightCenter Inc","91730","43338","LAX","CMH","Complete",356.09,338.9,17.19,"2026-03-25"
"P-71646-2612","SAN → LAX","DoorDash","92121","90058","SAN","LAX","Complete",165,78.4,86.6,"2026-03-25"
"P-146219-2611","CLT → CAE","Back to the Roots, Inc","28273","29575","CLT","CAE","Complete",384.86,404.63,-19.77,"2026-03-25"
"P-104588-2612","IAD → ORF","Back to the Roots, Inc","22079","23701","IAD","ORF","Complete",154,146.67,7.33,"2026-03-25"
"P-122917-2611","DEN → CLT","Worldwide Express","80110","28115","DEN","CLT","Complete",238.8,285.42,-46.62,"2026-03-25"
"P-103795-2612","MEM → MEM","Back to the Roots, Inc","38141","38134","MEM","MEM","Complete",113.52,84.61,28.91,"2026-03-25"
"P-73658-2612","BWI → EWR","DoorDash","21076","07201","BWI","EWR","Complete",200,400,-200,"2026-03-25"
"P-132079-2612","CLT → CLT","Back to the Roots, Inc","28273","28079","CLT","CLT","Complete",118.14,60.21,57.93,"2026-03-25"
"P-197624-2612","","Back to the Roots, Inc","","98001","","SEA","Complete",0,0,0,"2026-03-25"
"P-63114-2611","EWR → MIA","Worldwide Express","11412","33483","EWR","MIA","Complete",251.6,339.5,-87.9,"2026-03-25"
"P-107482-2612","IND → IND","Back to the Roots, Inc","46241","47232","IND","IND","Complete",109,128.33,-19.33,"2026-03-25"
"P-132474-2611","ORD → MCI","Priority1","60441","66214","ORD","MCI","Complete",189.19,279.07,-89.88,"2026-03-25"
"P-42387-2612","DFW → TPA","Priority1","75220","34211","DFW","TPA","Complete",243.06,223.04,20.02,"2026-03-25"
"P-71867-2612","EWR → EWR","DoorDash","19057","07201","EWR","EWR","Complete",200,101.96,98.04,"2026-03-25"
"P-74181-2612","EWR → EWR","DoorDash","19116","07201","EWR","EWR","Complete",200,103.92,96.08,"2026-03-25"
"P-73104-2612","EWR → EWR","DoorDash","08810","07201","EWR","EWR","Complete",200,94.12,105.88,"2026-03-25"
"P-133693-2611","ORD → DFW","The Bazaar Inc.","60171","75010","ORD","DFW","Complete",1239.86,1112.14,127.72,"2026-03-25"
"P-109929-2612","","Back to the Roots, Inc","97222","97734","PDX","","Complete",186,297.69,-111.69,"2026-03-25"
"P-130551-2612","RDU → RDU","Back to the Roots, Inc","27703","27597","RDU","RDU","Complete",119.65,78.37,41.28,"2026-03-25"
"P-132851-2612","SEA → SEA","Back to the Roots, Inc","98001","98045-8159","SEA","SEA","Complete",119.65,155.64,-35.99,"2026-03-25"
"P-150371-2611","LAX → SEA","Priority1","90220","98272","LAX","SEA","Complete",406.71,474.52,-67.81,"2026-03-25"
"P-106697-2612","DTW → DTW","Back to the Roots, Inc","48315","48160","DTW","DTW","Complete",207.5,264.31,-56.81,"2026-03-25"
"P-0081-2611","LAX → SEA","TGR Logistics Inc","93012","98032","LAX","SEA","Complete",221.85,264.31,-42.46,"2026-03-25"
"P-128209-2611","CLT → EWR","Worldwide Express","28124","10029","CLT","EWR","Complete",416.68,441.68,-25,"2026-03-25"
"P-72821-2612","CVG → ORD","DoorDash","45246","60131","CVG","ORD","Complete",220,550,-330,"2026-03-25"
"P-0024-2612","RDU → IAH","Source Direct Inc","27893","77378","RDU","IAH","Complete",531.92,469.7,62.23,"2026-03-25"
"P-142513-2611","LAX → TPA","GLB Trucking LLC dba GLB Solutions","91105","33844","LAX","TPA","Complete",368.74,409.55,-40.81,"2026-03-25"
"P-85159-2611","GSP → SMF","Priority1","29303","95993","GSP","SMF","Complete",442.49,452.11,-9.62,"2026-03-25"
"P-140802-2611","ORD → EWR","Source Alliance","60142","07105","ORD","EWR","Complete",234.04,207.22,26.82,"2026-03-25"
"P-36718-2612","MSP → EWR","Worldwide Express","55038","10029","MSP","EWR","Complete",270.8,301.93,-31.13,"2026-03-25"
"P-120578-2611","SFO → PHX","Gopuff","94806","85383","SFO","PHX","Complete",55,68.59,-13.59,"2026-03-25"
"P-195968-2612","","Back to the Roots, Inc","","73135","","OKC","Complete",0,0,0,"2026-03-25"
"P-100699-2608","LAX → LAX","Parsel, Inc","90221","90021","LAX","LAX","Complete",80,54.24,25.76,"2026-03-25"
"P-132965-2612","PDX → PDX","Back to the Roots, Inc","97222","98683","PDX","PDX","Complete",118.14,71.13,47.01,"2026-03-25"
"P-130528-2612","CLT → CLT","Back to the Roots, Inc","28273","28277","CLT","CLT","Complete",118.14,58.12,60.02,"2026-03-25"
"P-195936-2612","","Back to the Roots, Inc","","73135","","OKC","Complete",0,0,0,"2026-03-25"
"P-109611-2612","EWR → EWR","Back to the Roots, Inc","07036","08094","EWR","EWR","Complete",157.33,98.03,59.3,"2026-03-25"
"P-100559-2612","PDX → PDX","Back to the Roots, Inc","97222","97520-3686","PDX","PDX","Complete",352.61,335.82,16.79,"2026-03-25"
"P-133442-2612","ORD → ORD","Back to the Roots, Inc","60106","61325","ORD","ORD","Complete",229.36,241.48,-12.12,"2026-03-25"
"P-195019-2612","","Back to the Roots, Inc","","02322","","BOS","Complete",0,0,0,"2026-03-25"
"P-106632-2612","","Back to the Roots, Inc","75050","76049","DFW","","Complete",105,106.83,-1.83,"2026-03-25"
"P-148186-2611","DFW → BNA","Priority1","75228","37204","DFW","BNA","Complete",230.67,231.55,-0.88,"2026-03-25"
"P-133299-2612","BOI → BOI","Back to the Roots, Inc","83709","83706","BOI","BOI","Complete",90,130,-40,"2026-03-25"
"P-0041-2611","IAH → EWR","Specialized Power Solutions","77066","19067","IAH","EWR","Complete",777.32,482.63,294.68,"2026-03-25"
"P-133208-2612","CLT → CLT","Back to the Roots, Inc","28273","28216","CLT","CLT","Complete",193.66,171.94,21.72,"2026-03-25"
"P-109707-2612","BNA → BNA","Back to the Roots, Inc","37217","37220","BNA","BNA","Complete",113.52,41.1,72.42,"2026-03-25"
"P-46965-2612","LAX → SEA","Priority1","91748","98058","LAX","SEA","Complete",212.86,225.5,-12.64,"2026-03-25"
"P-25302-2612","EWR → EWR","Worldwide Express","07036","19335","EWR","EWR","Complete",110,341.9,-231.9,"2026-03-25"
"P-100914-2612","IAD → IAD","Back to the Roots, Inc","22079","20607-2607","IAD","IAD","Complete",193.66,161.41,32.25,"2026-03-25"
"P-115729-2612","EWR → EWR","Worldwide Express","07728","07650","EWR","EWR","Complete",110,89.02,20.98,"2026-03-25"
"P-146547-2611","TPA → TPA","Back to the Roots, Inc","33619","33912-1601","TPA","TPA","Complete",433.65,296.59,137.06,"2026-03-25"
"P-99665-2612","OKC → OKC","Back to the Roots, Inc","73135","73034","OKC","OKC","Complete",318.14,126.29,191.85,"2026-03-25"
"P-129962-2612","SAT → SAT","Back to the Roots, Inc","78218","78209","SAT","SAT","Complete",118.14,66.78,51.36,"2026-03-25"
"P-131724-2612","PDX → PDX","Back to the Roots, Inc","97222","97487-9524","PDX","PDX","Complete",206,288.44,-82.44,"2026-03-25"
"P-130267-2612","LAX → SAN","Back to the Roots, Inc","90021","92061","LAX","SAN","Complete",168,82.82,85.18,"2026-03-25"
"P-54279-2611","DEN → DEN","Back to the Roots, Inc","80239","80134-6445","DEN","DEN","Complete",44,97.23,-53.23,"2026-03-25"
"P-194562-2612","","Back to the Roots, Inc","","06114","","BDL","Complete",0,0,0,"2026-03-25"
"P-100405-2612","BNA → BNA","Back to the Roots, Inc","37217","37034","BNA","BNA","Complete",90,118.86,-28.86,"2026-03-25"
"P-146936-2611","PNS → MSY","Back to the Roots, Inc","32505","70806","PNS","MSY","Complete",186.63,196.79,-10.16,"2026-03-25"
"P-70063-2612","BNA → EVV","Back to the Roots, Inc","37217","47714","BNA","EVV","Complete",262.52,250.02,12.5,"2026-03-25"
"P-107745-2612","DFW → SHV","Back to the Roots, Inc","75050","71111","DFW","SHV","Complete",472.33,264.52,207.81,"2026-03-25"
"P-73451-2612","CLE → ORD","DoorDash","44087","60131","CLE","ORD","Complete",220,600,-380,"2026-03-25"
"P-194498-2612","","Back to the Roots, Inc","","28273","","CLT","Complete",0,0,0,"2026-03-25"
"P-117701-2611","SFO → PHX","Gopuff","94806","85085","SFO","PHX","Complete",55,69.77,-14.77,"2026-03-25"
"P-129632-2612","","Back to the Roots, Inc","95131","95685","SFO","","Complete",182,118.09,63.91,"2026-03-25"
"P-130465-2612","BNA → BNA","Back to the Roots, Inc","37217","37388","BNA","BNA","Complete",124,97.17,26.83,"2026-03-25"
"P-166291-2610","EWR → ATL","Worldwide Express","10989","30519","EWR","ATL","Complete",211.8,217.2,-5.4,"2026-03-25"
"P-115115-2611","EWR → GSO","Worldwide Express","11231","27292","EWR","GSO","Complete",211.8,219.55,-7.75,"2026-03-25"
"P-139552-2611","ORD → MIA","Worldwide Express","60171","33065","ORD","MIA","Complete",357,344.93,12.07,"2026-03-25"
"P-84224-2611","EWR → MCO","Worldwide Express","08810","32962","EWR","MCO","Complete",260.2,346.05,-85.85,"2026-03-25"
"P-102406-2612","BNA → BNA","Back to the Roots, Inc","37217","37187","BNA","BNA","Complete",84,78.02,5.98,"2026-03-25"
"P-104125-2611","IAH → SEA","Priority1","77477","98012","IAH","SEA","Complete",574.25,498.97,75.28,"2026-03-25"
"P-71739-2612","AUS → DFW","DoorDash","78758","75028","AUS","DFW","Complete",422.72,435,-12.28,"2026-03-25"
"P-98987-2612","CLT → CAE","Back to the Roots, Inc","28273","29506","CLT","CAE","Complete",187,134.62,52.38,"2026-03-25"
"P-131905-2612","DFW → DFW","Back to the Roots, Inc","75050","76087","DFW","DFW","Complete",118.44,79.91,38.53,"2026-03-25"
"P-196808-2612","PHX → PHX","CookUnity Inc","85719","85353","PHX","PHX","Complete",174.85,20,154.85,"2026-03-25"
"P-71565-2612","MDT → EWR","DoorDash","17111","07201","MDT","EWR","Complete",275,450,-175,"2026-03-25"
"P-37326-2612","LAX → MIA","Worldwide Express","91311","33309","LAX","MIA","Complete",582.4,811.34,-228.94,"2026-03-25"
"P-142486-2611","ATL → EWR","Worldwide Express","30360","07094","ATL","EWR","Complete",263,227.19,35.81,"2026-03-25"
"P-148228-2611","LAX → PDX","Worldwide Express","92704","98665","LAX","PDX","Complete",205,253.12,-48.12,"2026-03-25"
"P-126142-2611","LAX → CLT","Worldwide Express","91745","28107","LAX","CLT","Complete",371.32,381.91,-10.58,"2026-03-25"
"P-141307-2611","LAX → TPA","Priority1","92630","33801","LAX","TPA","Complete",1433.34,798.62,634.72,"2026-03-25"
"P-129108-2612","CLT → CAE","Back to the Roots, Inc","28273","29506","CLT","CAE","Complete",186,134.38,51.62,"2026-03-25"
"P-142709-2611","SDF → ORD","Blue Grace Logistics","47130","60465","SDF","ORD","Complete",180.93,235.4,-54.47,"2026-03-25"
"P-84039-2611","LAX → DEN","Worldwide Express","91761","80601","LAX","DEN","Complete",245,245,0,"2026-03-25"
"P-105318-2612","PDX → PDX","Back to the Roots, Inc","97222","97527-4832","PDX","PDX","Complete",352.61,335.82,16.79,"2026-03-25"
"P-54055-2610","EWR → IAH","Worldwide Express","07080","77375","EWR","IAH","Complete",230.2,219.64,10.56,"2026-03-25"
"P-193936-2612","","Back to the Roots, Inc","","15086","","PIT","Complete",0,0,0,"2026-03-25"
"P-134605-2611","GSP → EWR","Worldwide Express","29334","08734","GSP","EWR","Complete",196.06,246.16,-50.1,"2026-03-25"
"P-92208-2611","LAX → SAN","Back to the Roots, Inc","90021","92028-6535","LAX","SAN","Complete",150,142.72,7.28,"2026-03-25"
"P-72775-2612","EWR → EWR","DoorDash","07305","07201","EWR","EWR","Complete",200,119.76,80.24,"2026-03-25"
"P-72997-2612","EWR → EWR","DoorDash","07430","07201","EWR","EWR","Complete",200,130.24,69.76,"2026-03-25"
"P-131752-2612","BNA → BNA","Back to the Roots, Inc","37217","37174","BNA","BNA","Complete",75,113.07,-38.07,"2026-03-25"
"P-130944-2612","DFW → DFW","Back to the Roots, Inc","75050","75093-2910","DFW","DFW","Complete",204.39,106.76,97.62,"2026-03-25"
"P-41912-2612","LAX → SEA","GLB Trucking LLC dba GLB Solutions","90021","98310","LAX","SEA","Complete",221.87,289.1,-67.23,"2026-03-25"
"P-106731-2611","LAX → SLC","Worldwide Express","92337","84660","LAX","SLC","Complete",265,302.61,-37.61,"2026-03-25"
"P-63077-2612","LAX → SLC","Worldwide Express","91761","84660","LAX","SLC","Complete",180,266.64,-86.64,"2026-03-25"
"P-30631-2612","LAX → SLC","Worldwide Express","91710","84660","LAX","SLC","Complete",180,244.22,-64.22,"2026-03-25"
"P-104466-2612","DTW → DTW","Back to the Roots, Inc","48315","48103","DTW","DTW","Complete",122.1,130.64,-8.54,"2026-03-25"
"P-128386-2611","LAX → SEA","Worldwide Express","90221","98028","LAX","SEA","Complete",205,264.1,-59.1,"2026-03-25"
"P-41718-2612","LAX → SEA","GLB Trucking LLC dba GLB Solutions","90021","98043","LAX","SEA","Complete",220.66,240.93,-20.27,"2026-03-25"
"P-129669-2612","SFO → SFO","Back to the Roots, Inc","95131","95139","SFO","SFO","Complete",128.39,50.64,77.75,"2026-03-25"
"P-96623-2612","EWR → EWR","Armstrong Transport Group","08902","18974","EWR","EWR","Complete",114.57,172.13,-57.56,"2026-03-25"
"P-149209-2611","DFW → TPA","Priority1","75220","33971","DFW","TPA","Complete",295.82,250.58,45.24,"2026-03-25"
"P-104105-2612","BNA → BNA","Back to the Roots, Inc","37217","37129","BNA","BNA","Complete",119.65,44.21,75.44,"2026-03-25"
"P-108198-2612","BNA → BNA","Back to the Roots, Inc","37217","37217","BNA","BNA","Complete",193.66,81.32,112.34,"2026-03-25"
"P-138231-2611","DFW → EWR","Worldwide Express","76010","18360","DFW","EWR","Complete",290,370.11,-80.11,"2026-03-25"
"P-108598-2612","BNA → BNA","Back to the Roots, Inc","37217","37027","BNA","BNA","Complete",113.52,42.16,71.36,"2026-03-25"
"P-37274-2612","MSP → CMH","FreightCenter Inc","55904","43213","MSP","CMH","Complete",251.48,244.78,6.7,"2026-03-25"
"P-55192-2611","ATL → EWR","Worldwide Express","30340","11106","ATL","EWR","Complete",263,242.87,20.13,"2026-03-25"
"P-72232-2612","IAD → IAD","Back to the Roots, Inc","22079","20001-4303","IAD","IAD","Complete",118.14,78.93,39.21,"2026-03-25"
"P-24372-2611","EWR → MSP","Worldwide Express","07601","55330","EWR","MSP","Complete",270.8,262.81,7.99,"2026-03-25"
"P-99132-2612","BDL → BDL","Back to the Roots, Inc","06114","06110","BDL","BDL","Complete",113.52,89.69,23.83,"2026-03-25"
"P-105834-2612","MCO → JAX","Back to the Roots, Inc","32824","32091","MCO","JAX","Complete",219,179.11,39.89,"2026-03-25"
"P-66559-2611","ORD → EWR","Worldwide Express","60712","11101","ORD","EWR","Complete",204.88,199.43,5.45,"2026-03-25"
"P-135024-2612","LAX → LAX","Worldwide Express","92707","92336","LAX","LAX","Complete",110,131.88,-21.88,"2026-03-25"
"P-130977-2612","SLC → SLC","Back to the Roots, Inc","84119","84092","SLC","SLC","Complete",201.75,80.51,121.23,"2026-03-25"
"P-149561-2611","MSP → EWR","Worldwide Express","55423","07621","MSP","EWR","Complete",270.8,282.11,-11.31,"2026-03-25"
"P-85287-2612","EWR → MDT","Gopuff","08003","16801","EWR","MDT","Complete",875,700,175,"2026-03-25"
"P-104004-2612","BNA → BNA","Back to the Roots, Inc","37217","37174","BNA","BNA","Complete",124.5,225.32,-100.82,"2026-03-25"
